# Curated bright-star fallback: ra_hours,dec_degrees,magnitude,b_v_colour_index
6.752481,-16.716116,-1.46,0.00
6.399192,-52.695661,-0.74,0.15
14.660139,-60.833994,-0.27,0.71
14.261021,19.182417,-0.05,1.23
18.615649,38.783689,0.03,0.00
5.278155,45.997991,0.08,0.80
5.242298,-8.201640,0.13,-0.03
7.655033,5.225000,0.34,0.42
1.628571,-57.236753,0.46,-0.16
5.919529,7.407064,0.50,1.85
14.063729,-60.373039,0.61,-0.23
12.443304,-63.099092,0.76,-0.24
19.846389,8.868322,0.77,0.22
4.598677,16.509302,0.85,1.54
16.490129,-26.431946,0.96,1.83
13.419883,-11.161322,0.98,-0.23
7.755263,28.026199,1.14,1.00
22.960848,-29.622236,1.16,0.09
20.690532,45.280338,1.25,0.09
10.139532,11.967208,1.35,-0.11
6.977097,-28.972084,1.50,-0.21
7.576667,31.888276,1.58,0.03
12.519433,-57.113213,1.63,1.60
5.418851,6.349702,1.64,-0.21
5.438198,28.607450,1.65,-0.13
9.220000,-69.717208,1.67,-0.01
9.284838,-59.275232,1.69,-0.17
22.137219,-46.960974,1.74,-0.07
12.900485,55.959843,1.76,0.02
3.405380,49.861180,1.79,0.48
11.062129,61.751034,1.79,1.07
17.560145,-37.103821,1.62,-0.23
